model,snapshots,valid_rho,mean_rho,median_rho,mean_mard
cognitive,8,8,0.2843821808319439,0.30753397890538925,2.909090909090909
classical,8,8,-0.0436606737172474,-0.05172651701256738,3.852272727272727
momentumA,8,8,0.22366307158460919,0.22065098872395789,3.159090909090909
momentumB,8,3,0.2906966131190521,0.3561994508424849,2.579545454545454
