ticker,obs,start,cla_sharpe,cog_sharpe,mom_sharpe,cla_maxdd,cog_maxdd,mom_maxdd,baseline_stress,stress_vol,peak_stress,episode_days
SPY,6967,1998-12-23,0.6425427691396085,0.5473818978238251,0.602116703572381,0.3495989351225883,0.2818239188008703,0.2831516972418853,0.11287405392023192,0.08690015016609759,0.6037322030068631,5.713114754098361
XLB,6967,1998-12-23,0.4232578513324461,0.39158214760880355,0.39258973710770484,0.20475421871684907,0.2744429512119059,0.3113031924628367,0.12220335137557423,0.07795261277631912,0.6802890170076603,3.4504950495049505
XLC,2064,2018-06-20,0.6756475468222474,0.6033064359189317,0.5480744775935201,0.2654726785163959,0.2335371735777227,0.25148362382826206,0.1088053745252089,0.08113194673730202,0.5700096105538462,4.5
XLE,6967,1998-12-23,0.45517223921137945,0.40391566951470415,0.47104679765402624,0.4145048860266869,0.32869715106438924,0.4645334846005067,0.1659038228712471,0.09541880868437763,0.9580503063569352,4.005747126436781
XLF,6967,1998-12-23,0.43319405763771557,0.3344608411611999,0.4079634889999347,0.3221552068104734,0.4042766202403966,0.35264168474149366,0.17019195164776366,0.12126571744256967,0.9821805118505723,5.361538461538461
XLI,6967,1998-12-23,0.5551801898838602,0.5279785415082372,0.5548076337127751,0.3158482376911642,0.310865619798627,0.32970521507892464,0.11098713961247697,0.08394555735473802,0.6043677920160334,5.28030303030303
XLK,6967,1998-12-23,0.7288583961411145,0.6194721796803345,0.6095366280152581,0.3854228595043332,0.39338287844638503,0.4388818545857881,0.20260489249848848,0.13683854306149454,0.6581204543232674,4.076023391812866
XLP,6967,1998-12-23,0.5711711419528114,0.4315560895251763,0.4571151335663271,0.28000098769771187,0.2214330619902676,0.1993149033622795,0.0940725355957108,0.06364021250367158,0.4474375541948029,5.320610687022901
XLRE,2742,2015-10-09,0.41669139035836245,0.40190281767905534,0.3458615827869555,0.2154084664557033,0.1813184458940182,0.31912128954366026,0.10216446169580529,0.06448937182083586,0.7091383114062281,3.2738095238095237
XLU,6967,1998-12-23,0.5909535112172727,0.44940786207009503,0.46336199462051053,0.3195431942993067,0.27395791495148647,0.3132284459406912,0.11275666276184608,0.07416241184556588,0.5985449790171166,6.223214285714286
XLV,6967,1998-12-23,0.5751010735119488,0.5323079765854906,0.5543853271026672,0.23022189043236002,0.21449650624949582,0.21472802560393997,0.09954009695340561,0.06155516113261037,0.5409820087292515,3.5380710659898478
XLY,6967,1998-12-23,0.5812713219166915,0.49340572393716325,0.517324163668313,0.28699009931130226,0.3007891238246255,0.2742330832562627,0.11844452241918116,0.08599445148283297,0.6670248766125395,3.7675675675675677
