date,close_raw,close_tr,dividend,ret_price,ret_tr
1998-12-22,14.914063453674316,5.795294761657715,0.0,,
1998-12-23,14.851563453674316,5.7710113525390625,0.0,-0.0041906754784929445,-0.00419019396205933
1998-12-24,15.125,5.877265453338623,0.0,0.018411297044826247,0.018411694988749616
1998-12-28,15.046875,5.846904277801514,0.0,-0.005165289256198302,-0.005165867660420598
1998-12-29,15.296875,5.9440507888793945,0.0,0.01661474558670828,0.016615033607905838
1998-12-30,15.171875,5.895477771759033,0.0,-0.008171603677221695,-0.008171702908601586
1998-12-31,15.117188453674316,5.874227046966553,0.0,-0.003604468552877216,-0.003604580598077667
1999-01-04,14.875,5.780119895935059,0.0,-0.01602073390938319,-0.01602034621390591
1999-01-05,15.054688453674316,5.849943161010742,0.0,0.012079896045332106,0.012079899090810864
1999-01-06,15.210938453674316,5.9106597900390625,0.0,0.010378826535056174,0.010379011788181236
1999-01-07,15.15625,5.88940954208374,0.0,-0.0035953372529166083,-0.0035952412607360706
1999-01-08,15.242188453674316,5.922799587249756,0.0,0.005670166015625089,0.005669506412726344
1999-01-11,14.835938453674316,5.764942169189453,0.0,-0.026652996794700345,-0.026652500347999042
1999-01-12,14.84375,5.767975330352783,0.0,0.00052652862844349,0.0005261390442978797
1999-01-13,14.945313453674316,5.807442665100098,0.0,0.006842169510690832,0.0068424936805164815
1999-01-14,14.695313453674316,5.710293769836426,0.0,-0.01672765183379521,-0.01672834341481999
1999-01-15,14.765625,5.7376179695129395,0.0,0.0047846237882120946,0.004785077752190059
1999-01-19,15.265625,5.931907653808594,0.0,0.033862433862433816,0.033862429553173534
1999-01-20,15.203125,5.907618999481201,0.0,-0.004094165813715467,-0.004094577283548562
1999-01-21,15.148438453674316,5.886373043060303,0.0,-0.003597059573323458,-0.003596365375418409
1999-01-22,15.25,5.925836086273193,0.0,0.0067044234715196716,0.006704135623788687
1999-01-25,14.679688453674316,5.704225540161133,0.0,-0.037397478447585786,-0.03739734661669203
1999-01-26,14.96875,5.816549301147461,0.0,0.019691258928137056,0.019691325350917888
1999-01-27,14.742188453674316,5.728509426116943,0.0,-0.015135635662676172,-0.015136100542146091
1999-01-28,14.765625,5.7376179695129395,0.0,0.0015897603262453597,0.0015900372537520635
1999-01-29,14.742188453674316,5.728509426116943,0.0,-0.0015872369998346514,-0.0015875130488636202
1999-02-01,14.710938453674316,5.716368198394775,0.0,-0.0021197666885212074,-0.0021194392500804016
1999-02-02,14.515625,5.64047384262085,0.0,-0.01327675010600926,-0.013276673779557768
1999-02-03,14.59375,5.670830249786377,0.0,0.005382131324004336,0.005381889538454532
1999-02-04,14.375,5.585831165313721,0.0,-0.01498929336188437,-0.014988825397455385
1999-02-05,14.382813453674316,5.588865756988525,0.0,0.0005435446034307567,0.0005432659142381446
1999-02-08,14.382813453674316,5.588865756988525,0.0,0.0,0.0
1999-02-09,14.445313453674316,5.613151550292969,0.0,0.00434546413337733,0.004345388556537655
1999-02-10,14.34375,5.573685169219971,0.0,-0.007030893029772445,-0.007031055676901876
1999-02-11,14.40625,5.597971439361572,0.0,0.004357298474945592,0.004357309285375477
1999-02-12,14.171875,5.506899833679199,0.0,-0.01626898047722347,-0.016268679943954756
1999-02-16,14.429688453674316,5.607081890106201,0.0,0.018191908528286893,0.018192097087785575
1999-02-17,14.328125,5.5676116943359375,0.0,-0.00703850634061709,-0.007039347122771544
1999-02-18,14.585938453674316,5.6677985191345215,0.0,0.01799352348435801,0.017994578339668665
1999-02-19,14.429688453674316,5.607081890106201,0.0,-0.010712372090164624,-0.010712559527890853
1999-02-22,14.898438453674316,5.789225101470947,0.0,0.0324851088438185,0.03248449281365784
1999-02-23,14.429688453674316,5.607081890106201,0.0,-0.03146302892464514,-0.031462451048667406
1999-02-24,14.5625,5.658687591552734,0.0,0.009204048081292049,0.009203664661576072
1999-02-25,14.25,5.53726053237915,0.0,-0.02145922746781115,-0.021458519702492462
1999-02-26,14.335938453674316,5.570651054382324,0.0,0.006030768678899401,0.006030151878879897
1999-03-01,14.125,5.488683700561523,0.0,-0.014713962002274927,-0.014714142569802302
1999-03-02,13.914063453674316,5.406716823577881,0.0,-0.01493356080181829,-0.01493379495984748
1999-03-03,13.921875,5.409754276275635,0.0,0.0005614137345062442,0.0005617924512910655
1999-03-04,14.140625,5.494754314422607,0.0,0.015712682379348974,0.015712365812942553
